,Substructure Index,WURCS,glycoCT
L27329,436,"WURCS=2.0/5,5,4/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h][Aud21122h-?a_5*NCC/3=O][u2112h-?b]/1-2-3-4-5/a3-e1_a6-b1_b?-c1_c3-d2","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5b:x-dgal-HEX-x:x
6b:a-dgro-dgal-NON-x:x|1:a|2:keto|3:d
7s:n-acetyl
8s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4o(-1+1)5d
5:5o(3+2)6d
6:6d(5+1)7n
7:4d(2+1)8n
"
L27337,444,"WURCS=2.0/4,5,4/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h-?b][u1221m-?a]/1-2-3-4-3/a3-e1_a6-b1_b3-d1_b4-c1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5s:n-acetyl
6b:a-lgal-HEX-x:x|6:d
7b:b-dgal-HEX-x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4d(2+1)5n
5:4o(3+1)6d
6:4o(4+1)7d
"
L27338,445,"WURCS=2.0/4,5,4/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h-?b][uxxxxh_2*NCC/3=O]/1-2-3-3-4/a3-d1_a6-b1_b4-c1_d4-e1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:x-HEX-x:x
5s:n-acetyl
6b:b-dglc-HEX-x:x
7s:n-acetyl
8b:b-dgal-HEX-x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(4+1)4d
4:4d(2+1)5n
5:1o(6+1)6d
6:6d(2+1)7n
7:6o(4+1)8d
"
L27345,450,"WURCS=2.0/5,5,4/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u1221m][u2112h-?b][u2122h-?a_2*NCC/3=O]/1-2-3-4-5/a3-d1_a6-b1_b?-c1_d4-e1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-dglc-HEX-x:x
5s:n-acetyl
6b:b-dglc-HEX-x:x
7b:x-lgal-HEX-x:x|6:d
8s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(4+1)4d
4:4d(2+1)5n
5:1o(6+1)6d
6:6o(-1+1)7d
7:6d(2+1)8n
"
L27362,465,"WURCS=2.0/5,5,4/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O_6*OSO/3=O/3=O][u2112h-?b][uxxxxh_2*NCC/3=O][u2122h-?b_2*NCC/3=O]/1-2-3-4-5/a3-e1_a6-b1_b4-c1_c?-d1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dglc-HEX-x:x
4s:n-acetyl
5b:b-dglc-HEX-x:x
6s:n-acetyl
7b:b-dgal-HEX-x:x
8b:x-HEX-x:x
9s:n-acetyl
10s:sulfate
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3d(2+1)4n
4:1o(6+1)5d
5:5d(2+1)6n
6:5o(4+1)7d
7:7o(-1+1)8d
8:8d(2+1)9n
9:5o(6+1)10n
"
L27372,474,"WURCS=2.0/4,5,4/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h][Aud21122h-?a_5*NCC/3=O]/1-2-2-3-4/a3-c1_a6-b1_c?-d1_d3-e2","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dglc-HEX-x:x
4b:x-dgal-HEX-x:x
5b:a-dgro-dgal-NON-x:x|1:a|2:keto|3:d
6s:n-acetyl
7s:n-acetyl
8b:b-dglc-HEX-x:x
9s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(-1+1)4d
4:4o(3+2)5d
5:5d(5+1)6n
6:3d(2+1)7n
7:1o(6+1)8d
8:8d(2+1)9n
"
L27373,475,"WURCS=2.0/5,5,4/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h-?b_2*NCC/3=O][u2112h-?b][Aud21122h-?a_5*NCC/3=O]/1-2-3-4-5/a3-d1_a6-b1_b4-c1_d3-e2","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-dgro-dgal-NON-x:x|1:a|2:keto|3:d
5s:n-acetyl
6b:b-dglc-HEX-x:x
7s:n-acetyl
8b:b-dgal-HEX-x:x
9s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+2)4d
4:4d(5+1)5n
5:1o(6+1)6d
6:6d(2+1)7n
7:6o(4+1)8d
8:8d(2+1)9n
"
L27377,479,"WURCS=2.0/4,5,4/[u2112h_2*NCC/3=O][u2122h-?b_?*OSO/3=O/3=O_2*NCC/3=O][u2112h-?b][uxxxxh_2*NCC/3=O]/1-2-3-3-4/a3-d1_a6-b1_b4-c1_d4-e1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:x-HEX-x:x
5s:n-acetyl
6b:b-dglc-HEX-x:x
7s:sulfate
8s:n-acetyl
9b:b-dgal-HEX-x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(4+1)4d
4:4d(2+1)5n
5:1o(6+1)6d
6:6o(-1+1)7n
7:6d(2+1)8n
8:6o(4+1)9d
"
L27378,480,"WURCS=2.0/5,5,4/[u2112h_2*NCC/3=O][u2122h-?b_?*OSO/3=O/3=O_2*NCC/3=O][u2112h-?b_2*NCC/3=O][u2112h-?b][u1221m-?a]/1-2-3-4-5/a3-d1_a6-b1_b4-c1_d2-e1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-lgal-HEX-x:x|6:d
5b:b-dglc-HEX-x:x
6s:sulfate
7s:n-acetyl
8b:b-dgal-HEX-x:x
9s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:1o(6+1)5d
5:5o(-1+1)6n
6:5d(2+1)7n
7:5o(4+1)8d
8:8d(2+1)9n
"
L27379,481,"WURCS=2.0/5,5,4/[u2112h_2*NCC/3=O][u2122h-?b_?*OSO/3=O/3=O_2*NCC/3=O][u2112h-?b][u2112h-?a_2*NCC/3=O][u1221m-?a]/1-2-3-4-5/a3-c1_a6-b1_c2-e1_c3-d1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:a-lgal-HEX-x:x|6:d
5b:a-dgal-HEX-x:x
6s:n-acetyl
7b:b-dglc-HEX-x:x
8s:sulfate
9s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(2+1)4d
4:3o(3+1)5d
5:5d(2+1)6n
6:1o(6+1)7d
7:7o(-1+1)8n
8:7d(2+1)9n
"
L27380,482,"WURCS=2.0/5,6,5/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h-?b][u2112h][uxxxxh_2*NCC/3=O]/1-2-3-4-3-5/a?-d1_a6-b1_b4-c1_d3-e1_e4-f1","RES
1b:x-dgal-HEX-x:x
2b:x-dgal-HEX-x:x
3b:b-dgal-HEX-x:x
4b:x-HEX-x:x
5s:n-acetyl
6s:n-acetyl
7b:b-dglc-HEX-x:x
8s:n-acetyl
9b:b-dgal-HEX-x:x
LIN
1:1o(-1+1)2d
2:2o(3+1)3d
3:3o(4+1)4d
4:4d(2+1)5n
5:1d(2+1)6n
6:1o(6+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
"
L27384,486,"WURCS=2.0/4,6,5/[u2112h_2*NCC/3=O][u2112h-?b][u2122h-?b_2*NCC/3=O][u1221m-?a]/1-2-3-2-4-3/a3-b1_b3-f1_b6-c1_c4-d1_d2-e1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5s:n-acetyl
6b:b-dglc-HEX-x:x
7s:n-acetyl
8b:b-dgal-HEX-x:x
9b:a-lgal-HEX-x:x|6:d
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+1)4d
4:4d(2+1)5n
5:3o(6+1)6d
6:6d(2+1)7n
7:6o(4+1)8d
8:8o(2+1)9d
"
L27386,488,"WURCS=2.0/4,6,5/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h-?b][u1221m-?a]/1-2-3-2-3-4/a3-c1_a6-b1_c3-d1_d4-e1_e2-f1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5s:n-acetyl
6b:b-dgal-HEX-x:x
7b:a-lgal-HEX-x:x|6:d
8b:b-dglc-HEX-x:x
9s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:6o(2+1)7d
7:1o(6+1)8d
8:8d(2+1)9n
"
L27387,489,"WURCS=2.0/5,6,5/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h][u2122h_2*NCC/3=O][u2112h-?b]/1-2-3-4-3-5/a3-f1_a6-b1_b?-c1_c?-d1_d?-e1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5b:x-dgal-HEX-x:x
6b:x-dglc-HEX-x:x
7b:x-dgal-HEX-x:x
8s:n-acetyl
9s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4o(-1+1)5d
5:5o(-1+1)6d
6:6o(-1+1)7d
7:6d(2+1)8n
8:4d(2+1)9n
"
L27388,490,"WURCS=2.0/3,6,5/[u2112h_2*NCC/3=O][u2112h-?b][u2122h-?b_2*NCC/3=O]/1-2-3-2-3-2/a3-b1_b3-e1_b6-c1_c4-d1_e4-f1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5s:n-acetyl
6b:b-dgal-HEX-x:x
7b:b-dglc-HEX-x:x
8s:n-acetyl
9b:b-dgal-HEX-x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:3o(6+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
"
L27389,491,"WURCS=2.0/3,6,5/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h-?b]/1-2-3-2-2-3/a3-c1_a6-b1_c3-e1_c6-d1_e4-f1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5s:n-acetyl
6b:b-dgal-HEX-x:x
7b:b-dglc-HEX-x:x
8s:n-acetyl
9b:b-dglc-HEX-x:x
10s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:3o(6+1)7d
7:7d(2+1)8n
8:1o(6+1)9d
9:9d(2+1)10n
"
L27390,492,"WURCS=2.0/3,6,5/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h-?b]/1-2-3-2-3-2/a3-c1_a6-b1_c3-f1_c6-d1_d4-e1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5s:n-acetyl
6b:b-dglc-HEX-x:x
7s:n-acetyl
8b:b-dgal-HEX-x:x
9b:b-dglc-HEX-x:x
10s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+1)4d
4:4d(2+1)5n
5:3o(6+1)6d
6:6d(2+1)7n
7:6o(4+1)8d
8:1o(6+1)9d
9:9d(2+1)10n
"
L27393,495,"WURCS=2.0/4,6,5/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h][u2112h-?b]/1-2-3-4-2-2/a3-d1_a6-b1_b?-c1_d3-f1_d6-e1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5s:n-acetyl
6b:b-dglc-HEX-x:x
7s:n-acetyl
8b:b-dglc-HEX-x:x
9b:x-dgal-HEX-x:x
10s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+1)4d
4:4d(2+1)5n
5:3o(6+1)6d
6:6d(2+1)7n
7:1o(6+1)8d
8:8o(-1+1)9d
9:8d(2+1)10n
"
L27401,503,"WURCS=2.0/5,6,5/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h-?b][u2112h][u1221m-?a]/1-2-3-2-4-5/a3-c1_a6-b1_c3-d1_d?-e1_e2-f1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5b:x-dgal-HEX-x:x
6b:a-lgal-HEX-x:x|6:d
7s:n-acetyl
8b:b-dglc-HEX-x:x
9s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+1)4d
4:4o(-1+1)5d
5:5o(2+1)6d
6:4d(2+1)7n
7:1o(6+1)8d
8:8d(2+1)9n
"
L27404,505,"WURCS=2.0/4,6,5/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h-?b][u2112h]/1-2-3-2-2-4/a3-c1_a6-b1_c3-e1_c6-d1_e?-f1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5b:x-dgal-HEX-x:x
6s:n-acetyl
7b:b-dglc-HEX-x:x
8s:n-acetyl
9b:b-dglc-HEX-x:x
10s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+1)4d
4:4o(-1+1)5d
5:4d(2+1)6n
6:3o(6+1)7d
7:7d(2+1)8n
8:1o(6+1)9d
9:9d(2+1)10n
"
L27405,506,"WURCS=2.0/4,6,5/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h-?b][u2112h]/1-2-3-2-4-2/a3-c1_a6-b1_c3-f1_c6-d1_d?-e1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5s:n-acetyl
6b:b-dglc-HEX-x:x
7b:x-dgal-HEX-x:x
8s:n-acetyl
9b:b-dglc-HEX-x:x
10s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+1)4d
4:4d(2+1)5n
5:3o(6+1)6d
6:6o(-1+1)7d
7:6d(2+1)8n
8:1o(6+1)9d
9:9d(2+1)10n
"
L27411,512,"WURCS=2.0/4,6,5/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h][u2112h-?b]/1-2-3-4-2-3/a3-d1_a6-b1_b?-c1_d3-e1_e?-f1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5b:x-dgal-HEX-x:x
6s:n-acetyl
7b:b-dglc-HEX-x:x
8b:x-dgal-HEX-x:x
9s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+1)4d
4:4o(-1+1)5d
5:4d(2+1)6n
6:1o(6+1)7d
7:7o(-1+1)8d
8:7d(2+1)9n
"
L27425,517,"WURCS=2.0/5,6,5/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h][u2112h-?b][u1221m]/1-2-3-4-2-5/a3-d1_a6-b1_b?-c1_d3-e1_e?-f1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5b:x-lgal-HEX-x:x|6:d
6s:n-acetyl
7b:b-dglc-HEX-x:x
8b:x-dgal-HEX-x:x
9s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+1)4d
4:4o(-1+1)5d
5:4d(2+1)6n
6:1o(6+1)7d
7:7o(-1+1)8d
8:7d(2+1)9n
"
L27428,519,"WURCS=2.0/4,6,5/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h-?b][u1221m]/1-2-3-2-2-4/a3-c1_a6-b1_c3-e1_c6-d1_e?-f1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5b:x-lgal-HEX-x:x|6:d
6s:n-acetyl
7b:b-dglc-HEX-x:x
8s:n-acetyl
9b:b-dglc-HEX-x:x
10s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+1)4d
4:4o(-1+1)5d
5:4d(2+1)6n
6:3o(6+1)7d
7:7d(2+1)8n
8:1o(6+1)9d
9:9d(2+1)10n
"
L27429,520,"WURCS=2.0/4,6,5/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h-?b][u1221m]/1-2-3-2-4-2/a3-c1_a6-b1_c3-f1_c6-d1_d?-e1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5s:n-acetyl
6b:b-dglc-HEX-x:x
7b:x-lgal-HEX-x:x|6:d
8s:n-acetyl
9b:b-dglc-HEX-x:x
10s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+1)4d
4:4d(2+1)5n
5:3o(6+1)6d
6:6o(-1+1)7d
7:6d(2+1)8n
8:1o(6+1)9d
9:9d(2+1)10n
"
L27439,528,"WURCS=2.0/4,6,5/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h-?b][u2112h]/1-2-3-3-2-4/a3-d1_a6-b1_b4-c1_d3-e1_e?-f1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5b:x-dgal-HEX-x:x
6s:n-acetyl
7b:b-dglc-HEX-x:x
8s:n-acetyl
9b:b-dgal-HEX-x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+1)4d
4:4o(-1+1)5d
5:4d(2+1)6n
6:1o(6+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
"
L27440,529,"WURCS=2.0/4,6,5/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h-?b][u1221m]/1-2-3-3-2-4/a3-d1_a6-b1_b4-c1_d3-e1_e?-f1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5b:x-lgal-HEX-x:x|6:d
6s:n-acetyl
7b:b-dglc-HEX-x:x
8s:n-acetyl
9b:b-dgal-HEX-x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+1)4d
4:4o(-1+1)5d
5:4d(2+1)6n
6:1o(6+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
"
L27441,530,"WURCS=2.0/5,6,5/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h-?b][u2122h_2*NCC/3=O][u1221m]/1-2-3-4-5-3/a3-f1_a6-b1_b4-c1_c?-d1_d?-e1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5s:n-acetyl
6b:b-dgal-HEX-x:x
7b:x-dglc-HEX-x:x
8b:x-lgal-HEX-x:x|6:d
9s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:6o(-1+1)7d
7:7o(-1+1)8d
8:7d(2+1)9n
"
L27442,531,"WURCS=2.0/5,6,5/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h-?b][u2122h_2*NCC/3=O][u2112h]/1-2-3-4-5-3/a3-f1_a6-b1_b4-c1_c?-d1_d?-e1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5s:n-acetyl
6b:b-dgal-HEX-x:x
7b:x-dglc-HEX-x:x
8b:x-dgal-HEX-x:x
9s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:6o(-1+1)7d
7:7o(-1+1)8d
8:7d(2+1)9n
"
L27443,532,"WURCS=2.0/4,6,5/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h-?b][u2122h_2*NCC/3=O]/1-2-3-4-3-2/a3-e1_a6-b1_b4-c1_c?-d1_e3-f1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5s:n-acetyl
6b:b-dglc-HEX-x:x
7s:n-acetyl
8b:b-dgal-HEX-x:x
9b:x-dglc-HEX-x:x
10s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+1)4d
4:4d(2+1)5n
5:1o(6+1)6d
6:6d(2+1)7n
7:6o(4+1)8d
8:8o(-1+1)9d
9:9d(2+1)10n
"
L27448,537,"WURCS=2.0/3,6,5/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h-?b]/1-2-3-3-2-3/a3-d1_a6-b1_b4-c1_d3-e1_e4-f1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5s:n-acetyl
6b:b-dgal-HEX-x:x
7b:b-dglc-HEX-x:x
8s:n-acetyl
9b:b-dgal-HEX-x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:1o(6+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
"
L27449,538,"WURCS=2.0/3,6,5/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h-?b]/1-2-3-3-2-2/a3-d1_a6-b1_b4-c1_d3-f1_d6-e1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5s:n-acetyl
6b:b-dglc-HEX-x:x
7s:n-acetyl
8b:b-dglc-HEX-x:x
9s:n-acetyl
10b:b-dgal-HEX-x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+1)4d
4:4d(2+1)5n
5:3o(6+1)6d
6:6d(2+1)7n
7:1o(6+1)8d
8:8d(2+1)9n
9:8o(4+1)10d
"
L27453,542,"WURCS=2.0/4,6,5/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h-?b][uxxxxh_2*NCC/3=O]/1-2-3-2-3-4/a3-c1_a6-b1_c3-d1_d4-e1_e?-f1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5s:n-acetyl
6b:b-dgal-HEX-x:x
7b:x-HEX-x:x
8s:n-acetyl
9b:b-dglc-HEX-x:x
10s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(3+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:6o(-1+1)7d
7:7d(2+1)8n
8:1o(6+1)9d
9:9d(2+1)10n
"
L27467,554,"WURCS=2.0/2,6,5/[u2122h-?b_2*NCC/3=O][u2112h-?b]/1-2-1-2-1-2/a4-b1_b3-c1_c4-d1_d3-e1_e4-f1","RES
1b:b-dglc-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5s:n-acetyl
6b:b-dgal-HEX-x:x
7b:b-dglc-HEX-x:x
8s:n-acetyl
9b:b-dgal-HEX-x:x
LIN
1:1d(2+1)2n
2:1o(4+1)3d
3:3o(3+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:6o(3+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
"
L27471,558,"WURCS=2.0/3,6,5/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h-?b]/1-2-3-2-3-3/a3-f1_a6-b1_b4-c1_c3-d1_d4-e1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:b-dglc-HEX-x:x
5s:n-acetyl
6b:b-dgal-HEX-x:x
7b:b-dglc-HEX-x:x
8s:n-acetyl
9b:b-dgal-HEX-x:x
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:1o(6+1)4d
4:4d(2+1)5n
5:4o(4+1)6d
6:6o(3+1)7d
7:7d(2+1)8n
8:7o(4+1)9d
"
L27472,559,"WURCS=2.0/3,6,5/[u2112h-?b][u2122h-?b_2*NCC/3=O][u1221m-?a]/1-2-1-2-1-3/a3-b1_b4-c1_c3-d1_d4-e1_e2-f1","RES
1b:b-dgal-HEX-x:x
2b:b-dglc-HEX-x:x
3s:n-acetyl
4b:b-dgal-HEX-x:x
5b:b-dglc-HEX-x:x
6s:n-acetyl
7b:b-dgal-HEX-x:x
8b:a-lgal-HEX-x:x|6:d
LIN
1:1o(3+1)2d
2:2d(2+1)3n
3:2o(4+1)4d
4:4o(3+1)5d
5:5d(2+1)6n
6:5o(4+1)7d
7:7o(2+1)8d
"
L27473,560,"WURCS=2.0/4,6,5/[u2112h-?b][u2122h_2*NCC/3=O][u2112h][u1221m-?a]/1-2-3-4-2-3/a?-e1_a?-b1_b?-c1_c2-d1_e?-f1","RES
1b:b-dgal-HEX-x:x
2b:x-dglc-HEX-x:x
3b:x-dgal-HEX-x:x
4s:n-acetyl
5b:x-dglc-HEX-x:x
6b:x-dgal-HEX-x:x
7b:a-lgal-HEX-x:x|6:d
8s:n-acetyl
LIN
1:1o(-1+1)2d
2:2o(-1+1)3d
3:2d(2+1)4n
4:1o(-1+1)5d
5:5o(-1+1)6d
6:6o(2+1)7d
7:5d(2+1)8n
"
L27474,561,"WURCS=2.0/4,6,5/[u2112h_2*NCC/3=O][u2112h-?b][u2122h_2*NCC/3=O][u2112h]/1-2-3-4-3-4/a3-b1_b?-e1_b?-c1_c?-d1_e?-f1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:x-dglc-HEX-x:x
5b:x-dgal-HEX-x:x
6s:n-acetyl
7b:x-dglc-HEX-x:x
8b:x-dgal-HEX-x:x
9s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(-1+1)4d
4:4o(-1+1)5d
5:4d(2+1)6n
6:3o(-1+1)7d
7:7o(-1+1)8d
8:7d(2+1)9n
"
L104529,562,"WURCS=2.0/5,6,5/[u2112h_2*NCC/3=O][u2122h-?b_2*NCC/3=O][u2112h][u2112h-?b][u2122h_2*NCC/3=O]/1-2-3-4-5-5/a3-d1_a6-b1_b?-c1_d?-f1_d?-e1","RES
1b:x-dgal-HEX-x:x
2s:n-acetyl
3b:b-dgal-HEX-x:x
4b:x-dglc-HEX-x:x
5s:n-acetyl
6b:x-dglc-HEX-x:x
7s:n-acetyl
8b:b-dglc-HEX-x:x
9b:x-dgal-HEX-x:x
10s:n-acetyl
LIN
1:1d(2+1)2n
2:1o(3+1)3d
3:3o(-1+1)4d
4:4d(2+1)5n
5:3o(-1+1)6d
6:6d(2+1)7n
7:1o(6+1)8d
8:8o(-1+1)9d
9:8d(2+1)10n
"
